Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
SQP (mixed);2;2;[0, 1];;;3;5;3.0;[0.00000000e+00 9.02056208e-17]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ15_Test;[0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;51;55;7,90E-09;[3. 2.]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;41;45;1,58E-12;[3. 2.]
FullyDetLinearInterpol;2;0;[];n+1;3;77;86;1,22E-02;[3. 2.]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;41;45;1,58E-12;[3. 2.]
Trafo Version1;2;1;[0];m_default;4;37;37;0.0;[ 3.58442834 -1.84812653]
Trafo Version1;2;1;[1];m_default;4;39;40;3,16E-14;[3. 2.]
Trafo Version1;2;2;[0, 1];m_default;3;39;38;0.0;[ 3.58442834 -1.84812653]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;51;55;7,91E-09;[3. 2.]
Trafo Version4;2;1;[0];m_default;5;43;47;2,19E-06;[3. 2.]
Trafo Version4;2;1;[1];m_default;5;60;65;9,30E-11;[ 3.58442834 -1.84812653]
Trafo Version4;2;2;[0, 1];m_default;5;44;47;5,29E-11;[ 3.58442834 -1.84812653]
;;;;;;;;;
SQP (mixed);2;0;[];;;12;41;1,01E+07;[3.00001254 1.99997515]
SQP (mixed);2;1;[0];;;12;29;1,01E+08;[3.00001254 1.99997515]
SQP (mixed);2;1;[1];;;12;29;1,01E+07;[3.00001254 1.99997515]
SQP (mixed);2;2;[0, 1];;;12;17;1,01E+08;[3.00001254 1.99997515]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ17_Test;[2.2 1.2];;;;;;;;
;;;;;;;;;
