Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
FullyDetQuadInterpol;10;0;[];0.5(n+1)(n+2);66;27;87;2,58E-13;"[-3.55271368e-15 -4.29085022e-15  1.07420828e-14 -1.00073577e-14
  1.45894368e-15 -1.76088648e-15 -7.88538330e-16  4.37605778e-16
  5.52982739e-16  2.32815147e-15]"
FullyDetLinearInterpol;10;0;[];n+1;11;201;237;6,42E-02;"[ 3.42945005e-09  2.66622339e-09 -2.17317539e-09  2.69935830e-09
 -2.75902570e-09  7.02671407e-10 -4.71936190e-09 -1.42511233e-09
  3.96168948e-10 -8.73399053e-10]"
;;;;;;;;;
Trafo Version1;10;5;[0, 1, 2, 3, 4];m_default;16;100;143;2,85E-03;"[-1.80703510e-20 -2.75738943e-20  1.52449207e-20  2.15075046e-20
  9.17374912e-21 -9.47475286e-10 -2.40460028e-10  3.83913813e-10
  7.61294658e-10 -1.08089757e-09]"
Trafo Version1;10;5;[1, 4, 6, 8, 9];m_default;16;103;149;4,78E-03;"[ 8.57621414e-10  1.37569253e-20 -8.55222030e-11  1.80702102e-09
  5.19989815e-21 -8.67882633e-10 -2.55017100e-21  1.40050622e-10
 -1.33915089e-20  8.89908404e-21]"
Trafo Version1;10;5;[0, 1, 4, 7, 9];m_default;16;97;143;2,28E-02;"[-1.05165954e-21  3.77828553e-21 -1.39699156e-09  3.96434613e-10
 -2.47470743e-22 -4.01648479e-10  9.00548043e-11 -1.89971975e-21
  2.81286448e-11  4.94442895e-22]"
Trafo Version1;10;7;[1, 3, 4, 6, 7, 8, 9];m_default;14;44;61;7,17E-29;"[-2.06670876e-22  6.78670604e-23 -1.68335836e-23 -4.98378714e-23
 -8.49663462e-23  9.63639733e-23  1.81993495e-23  2.86648715e-23
 -5.00420994e-23 -3.86517225e-23]"
Trafo Version1;10;7;[0, 2, 4, 6, 7, 8, 9];m_default;14;43;57;7,95E-28;"[-2.90571542e-23 -8.27566018e-23  3.55860142e-23  2.86399827e-22
 -5.43571101e-23 -8.24384981e-22  2.05243239e-23 -1.41675052e-22
  2.50080231e-23  7.53553463e-24]"
Trafo Version1;10;7;[0, 2, 3, 4, 6, 7, 9];m_default;14;43;60;6,04E-27;"[ 1.24665461e-24  2.01785651e-21 -4.77457087e-23  1.20115392e-22
  1.35904505e-23  4.68245216e-22  9.05756517e-24  1.35243376e-22
 -1.30605827e-21  6.01745643e-23]"
Trafo Version1;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;11;27;32;1,24E-23;"[ 9.01780042e-21 -8.07151502e-20 -4.43633972e-20 -3.30872245e-20
 -3.10843135e-20 -2.39113835e-20 -9.01309967e-21  9.99301403e-21
  1.35067254e-20  2.89578535e-20]"
